Index,Time,Motor.Angle,pida.setpoint,Aref2
238,2.387490,5.75352716,6.28318501,-4.43562841
239,2.397491,5.75920343,6.28318501,-4.41800499
240,2.407487,5.76479578,6.28318501,-4.38933945
241,2.417484,5.77030849,6.28318501,-4.34970236
242,2.427487,5.77578306,6.28318501,-4.29919291
243,2.437487,5.78119802,6.28318501,-4.23793697
244,2.447473,5.78653288,6.28318501,-4.16609335
245,2.457471,5.79184103,6.28318501,-4.08383131
246,2.467484,5.79708672,6.28318501,-3.99136114
247,2.477485,5.80227137,6.28318501,-3.88891244
248,2.487484,5.80739927,6.28318501,-3.77674913
249,2.497485,5.81247663,6.28318501,-3.65514159
250,2.507490,5.81749344,6.28318501,-3.52439737
251,2.517484,5.82246208,6.28318501,-3.38484931
252,2.527489,5.82738018,6.28318501,-3.23682952
253,2.537490,5.83225536,6.28318501,-3.08072448
254,2.547490,5.83706427,6.28318501,-2.91691875
255,2.557490,5.84182787,6.28318501,-2.74581885
256,2.567484,5.84654093,6.28318501,-2.56786203
257,2.577490,5.85122442,6.28318501,-2.38349032
258,2.587485,5.85584307,6.28318501,-2.19314289
259,2.597484,5.86041689,6.28318501,-1.99733567
260,2.607491,5.86493635,6.28318501,-1.79652476
261,2.617483,5.86939621,6.28318501,-1.59122336
262,2.627485,5.87381268,6.28318501,-1.38194454
263,2.637491,5.87820816,6.28318501,-1.16921961
264,2.647488,5.88254499,6.28318501,-0.953572273
265,2.657475,5.88681412,6.28318501,-0.735529065
266,2.667484,5.89108896,6.28318501,-0.515664101
267,2.677483,5.89526701,6.28318501,-0.294484973
268,2.687480,5.89945269,6.28318501,-0.0725993216
269,2.697475,5.90352678,6.28318501,0.149480492
270,2.707485,5.90760899,6.28318501,0.37117821
271,2.717490,5.91167545,6.28318501,0.591956675
272,2.727486,5.91560841,6.28318501,0.811255515
273,2.737490,5.91952848,6.28318501,1.02853894
274,2.747489,5.92342615,6.28318501,1.24323511
275,2.757491,5.92729473,6.28318501,1.45482779
276,2.767490,5.93112612,6.28318501,1.66278028
277,2.777486,5.93491459,6.28318501,1.86659217
278,2.787491,5.93865204,6.28318501,2.06572294
279,2.797490,5.9423337,6.28318501,2.25970531
280,2.807484,5.94598675,6.28318501,2.44802117
281,2.817484,5.94967747,6.28318501,2.630229
282,2.827508,5.95328379,6.28318501,2.80585885
283,2.837475,5.95680761,6.28318501,2.97448516
284,2.847490,5.96033573,6.28318501,3.13566375
285,2.857483,5.96381426,6.28318501,3.28901076
286,2.867490,5.96725225,6.28318501,3.43413663
287,2.877489,5.97066116,6.28318501,3.57067084
288,2.887490,5.97401524,6.28318501,3.69828796
289,2.897485,5.97733164,6.28318501,3.81666088
290,2.907489,5.98063564,6.28318501,3.92549181
291,2.917485,5.98388863,6.28318501,4.02451277
292,2.927484,5.98711729,6.28318501,4.11347246
293,2.937498,5.99030972,6.28318501,4.19215012
294,2.947500,5.99346781,6.28318501,4.26035118
295,2.957490,5.9966054,6.28318501,4.317904
296,2.967486,5.99969387,6.28318501,4.36466265
297,2.977491,6.00275612,6.28318501,4.40050983
298,2.987476,6.00578451,6.28318501,4.42535925
299,2.997491,6.00877666,6.28318501,4.43914747
300,3.007491,6.01175117,6.28318501,4.44184017
301,3.017489,6.0146842,6.28318501,4.43342972
302,3.027485,6.01760149,6.28318501,4.41393805
303,3.037485,6.02049208,6.28318501,4.38341236
304,3.047490,6.02331877,6.28318501,4.34193087
305,3.057484,6.02614164,6.28318501,4.28959608
306,3.067485,6.02892399,6.28318501,4.22653913
307,3.077491,6.0316925,6.28318501,4.15291739
308,3.087490,6.03440905,6.28318501,4.06891346
309,3.097490,6.03710365,6.28318501,3.97474217
310,3.107490,6.03977537,6.28318501,3.87063193
311,3.117491,6.04241371,6.28318501,3.75685072
312,3.127489,6.04503965,6.28318501,3.63367701
313,3.137487,6.04760742,6.28318501,3.5014205
314,3.147487,6.05014992,6.28318501,3.36040902
315,3.157486,6.05268621,6.28318501,3.21100354
316,3.167490,6.05521631,6.28318501,3.05357528
317,3.177490,6.05770922,6.28318501,2.88850188
318,3.187470,6.06016159,6.28318501,2.71622467
319,3.197475,6.06259012,6.28318501,2.53715181
320,3.207491,6.06499529,6.28318501,2.35174084
321,3.217484,6.06735802,6.28318501,2.16045213
322,3.227486,6.06971121,6.28318501,1.96376348
323,3.237485,6.07203865,6.28318501,1.76215875
324,3.247490,6.07433891,6.28318501,1.55614948
325,3.257484,6.07662249,6.28318501,1.3462584
326,3.267490,6.07887125,6.28318501,1.13299441
327,3.277484,6.08110476,6.28318501,0.916906595
328,3.287487,6.0833025,6.28318501,0.698527098
329,3.297485,6.08548975,6.28318501,0.478384852
330,3.307487,6.08765411,6.28318501,0.257046729
331,3.317489,6.08980274,6.28318501,0.035074532
332,3.327487,6.09192705,6.28318501,-0.18697688
333,3.337483,6.09400463,6.28318501,-0.408569396
334,3.347483,6.0960927,6.28318501,-0.629140615
335,3.357485,6.09812307,6.28318501,-0.848139286
336,3.367490,6.10015297,6.28318501,-1.06502616
337,3.377485,6.10218096,6.28318501,-1.27922642
338,3.387487,6.1041646,6.28318501,-1.49025345
339,3.397484,6.10610914,6.28318501,-1.69754744
340,3.407491,6.10804319,6.28318501,-1.9006058
341,3.417485,6.10996246,6.28318501,-2.09889817
342,3.427485,6.11186218,6.28318501,-2.29194474
343,3.437515,6.11374092,6.28318501,-2.4792695
344,3.447489,6.11559391,6.28318501,-2.66040421
345,3.457484,6.11747026,6.28318501,-2.83487511
346,3.467484,6.11932802,6.28318501,-3.00226712
347,3.477483,6.12114859,6.28318501,-3.16215444
348,3.487484,6.12292957,6.28318501,-3.31413198
349,3.497484,6.12467957,6.28318501,-3.45783687
350,3.507486,6.12644482,6.28318501,-3.59289312
351,3.517491,6.12816095,6.28318501,-3.71897769
352,3.527491,6.12988949,6.28318501,-3.83574772
353,3.537491,6.13157558,6.28318501,-3.94293928
354,3.547475,6.13326645,6.28318501,-4.0402751
355,3.557485,6.13491631,6.28318501,-4.12750578
356,3.567485,6.13655424,6.28318501,-4.20442915
357,3.577489,6.13818598,6.28318501,-4.27083731
358,3.587484,6.13979006,6.28318501,-4.3265729
359,3.597485,6.1413908,6.28318501,-4.37149429
360,3.607484,6.14295673,6.28318501,-4.40548849
361,3.617486,6.14451504,6.28318501,-4.42847109
362,3.627490,6.14606142,6.28318501,-4.44038391
363,3.637485,6.14759207,6.28318501,-4.44119692
364,3.647484,6.14910507,6.28318501,-4.43090963
365,3.657490,6.1505971,6.28318501,-4.40954685
366,3.667486,6.15206671,6.28318501,-4.3771615
367,3.677484,6.15353918,6.28318501,-4.3338356
368,3.687475,6.154984,6.28318501,-4.27967882
369,3.697471,6.156425,6.28318501,-4.21482515
370,3.707483,6.15785217,6.28318501,-4.1394372
371,3.717485,6.15924883,6.28318501,-4.05369663
372,3.727489,6.16063833,6.28318501,-3.95782971
373,3.737485,6.16199446,6.28318501,-3.85206676
374,3.747485,6.16335583,6.28318501,-3.73667502
375,3.757485,6.16471767,6.28318501,-3.61194801
376,3.767490,6.16603518,6.28318501,-3.47819352
377,3.777485,6.16734314,6.28318501,-3.33573413
378,3.787491,6.16864395,6.28318501,-3.18494821
379,3.797489,6.16993618,6.28318501,-3.02618933
380,3.807486,6.17121506,6.28318501,-2.85987854
381,3.817485,6.17248011,6.28318501,-2.68640637
382,3.827486,6.1737299,6.28318501,-2.50622559
383,3.837485,6.17495966,6.28318501,-2.31978035
384,3.847483,6.1761694,6.28318501,-2.12754416
385,3.857483,6.17739677,6.28318501,-1.92998254
386,3.867484,6.17860222,6.28318501,-1.72759688
387,3.877484,6.17978239,6.28318501,-1.520877
388,3.887489,6.18096209,6.28318501,-1.31037927
389,3.897486,6.18212605,6.28318501,-1.09659803
390,3.907485,6.18325806,6.28318501,-0.880092502
391,3.917523,6.18440056,6.28318501,-0.661370635
392,3.927474,6.18553257,6.28318501,-0.440995574
393,3.937524,6.18664169,6.28318501,-0.219535142
394,3.947469,6.18773937,6.28318501,0.00249088765
395,3.957490,6.18881893,6.28318501,0.2245107
396,3.967489,6.18989038,6.28318501,0.445969313
397,3.977491,6.19095564,6.28318501,0.666313171
398,3.987485,6.19202089,6.28318501,0.884983242
399,3.997484,6.19306374,6.28318501,1.10144961
400,4.007485,6.19410896,6.28318501,1.31516278
401,4.017486,6.19512463,6.28318501,1.5255965
402,4.027484,6.19614077,6.28318501,1.73220098
403,4.037491,6.19712305,6.28318501,1.93446839
404,4.047490,6.19810438,6.28318501,2.13190866
405,4.057489,6.19907713,6.28318501,2.32402015
